t, x, z 
0.018, -1.4278, 1.42834
0.036, -1.42756, 1.42569
0.054, -1.42726, 1.42275
0.072, -1.42695, 1.42
0.09, -1.42665, 1.4176
0.108, -1.42638, 1.41559
0.126, -1.42614, 1.41396
0.144, -1.42593, 1.4127
0.162, -1.42576, 1.41177
0.18, -1.42562, 1.41114
0.198, -1.42551, 1.41079
0.216, -1.42543, 1.41068
0.234, -1.42538, 1.4108
0.252, -1.42536, 1.41112
0.27, -1.42537, 1.41162
0.288, -1.4254, 1.41229
0.306, -1.42547, 1.4131
0.324, -1.42556, 1.41405
0.342, -1.42568, 1.41512
0.36, -1.42582, 1.4163
0.378, -1.42599, 1.41757
0.396, -1.42619, 1.41893
0.414, -1.42641, 1.42037
0.432, -1.42666, 1.42189
0.45, -1.42693, 1.42346
0.468, -1.42722, 1.4251
0.486, -1.42754, 1.42678
0.504, -1.42788, 1.42851
0.522, -1.42825, 1.43028
0.54, -1.42864, 1.43209
0.558, -1.42905, 1.43392
0.576, -1.42948, 1.43579
0.594, -1.42993, 1.43768
0.612, -1.43041, 1.4396
0.63, -1.43091, 1.44153
0.648, -1.43142, 1.44348
0.666, -1.43196, 1.44544
0.684, -1.43253, 1.44742
0.702, -1.43311, 1.4494
0.72, -1.43371, 1.4514
0.738, -1.43433, 1.4534
0.756, -1.43498, 1.45541
0.774, -1.43564, 1.45742
0.792, -1.43632, 1.45943
0.81, -1.43703, 1.46145
0.828, -1.43775, 1.46346
0.846, -1.4385, 1.46548
0.864, -1.43926, 1.4675
0.882, -1.44004, 1.46951
0.9, -1.44084, 1.47152
0.918, -1.44166, 1.47353
0.936, -1.4425, 1.47553
0.954, -1.44336, 1.47753
0.972, -1.44424, 1.47953
0.99, -1.44514, 1.48151
1.008, -1.44606, 1.4835
1.026, -1.44699, 1.48547
1.044, -1.44794, 1.48744
1.062, -1.44891, 1.4894
1.08, -1.4499, 1.49136
1.098, -1.45091, 1.4933
1.116, -1.45194, 1.49524
1.134, -1.45298, 1.49717
1.152, -1.45404, 1.49909
1.17, -1.45512, 1.501
1.188, -1.45622, 1.5029
1.206, -1.45734, 1.50479
1.224, -1.45847, 1.50667
1.242, -1.45962, 1.50854
1.26, -1.46079, 1.5104
1.278, -1.46197, 1.51225
1.296, -1.46317, 1.51409
1.314, -1.46439, 1.51592
1.332, -1.46563, 1.51774
1.35, -1.46688, 1.51954
1.368, -1.46815, 1.52133
1.386, -1.46943, 1.52312
1.404, -1.47074, 1.52488
1.422, -1.47205, 1.52664
1.44, -1.47339, 1.52838
1.458, -1.47474, 1.53012
1.476, -1.47611, 1.53183
1.494, -1.47749, 1.53354
1.512, -1.47889, 1.53523
1.53, -1.4803, 1.53691
1.548, -1.48173, 1.53858
1.566, -1.48318, 1.54023
1.584, -1.48464, 1.54187
1.602, -1.48611, 1.54349
1.62, -1.48761, 1.54511
